dataset	taxaID	locus	gene	essentiality
108	83333	fabZ	fabZ	E
108	83333	fadA	fadA	NE
108	83333	fadB	fadB	NE
108	83333	fadD	fadD	NE
108	83333	fadE	fadE	NE
108	83333	fadH	fadH	NE
108	83333	fadI	fadI	NE
108	83333	fadJ	fadJ	NE
108	83333	fadK	fadK	NE
108	83333	fadL	fadL	NE
108	83333	fadM	fadM	NE
108	83333	fadR	fadR	NE
108	83333	fatA	fatA	NE
108	83333	fau	fau	NE
108	83333	fbaA	fbaA	E
108	83333	fbaB	fbaB	NE
108	83333	fbp	fbp	NE
108	83333	fcsA	fcsA	NE
108	83333	fdhD	fdhD	NE
108	83333	fdhE	fdhE	NE
108	83333	fdhF	fdhF	NE
108	83333	fdnG	fdnG	NE
108	83333	fdnH	fdnH	NE
108	83333	fdnI	fdnI	NE
108	83333	fdoG	fdoG	NE
108	83333	fdoH	fdoH	NE
108	83333	fdoI	fdoI	NE
108	83333	fdrA	fdrA	NE
108	83333	fdx	fdx	NE
108	83333	feaB	feaB	NE
108	83333	feaR	feaR	NE
108	83333	fecA	fecA	NE
108	83333	fecB	fecB	NE
108	83333	fecC	fecC	NE
108	83333	fecD	fecD	NE
108	83333	fecE	fecE	NE
108	83333	fecI	fecI	NE
108	83333	fecR	fecR	NE
108	83333	feoA	feoA	NE
108	83333	feoB	feoB	NE
108	83333	feoC	feoC	NE
108	83333	fepA	fepA	NE
108	83333	fepB	fepB	NE
108	83333	fepC	fepC	NE
108	83333	fepD	fepD	NE
108	83333	fepE	fepE	NE
108	83333	fepG	fepG	NE
108	83333	fes	fes	NE
108	83333	fexB	fexB	NE
108	83333	ffh	ffh	E
108	83333	ffs	ffs	E
108	83333	fhlA	fhlA	NE
108	83333	fhlB	fhlB	NE
108	83333	fhuA	fhuA	NE
108	83333	fhuB	fhuB	NE
108	83333	fhuC	fhuC	NE
108	83333	fhuD	fhuD	NE
108	83333	fhuE	fhuE	NE
108	83333	fhuF	fhuF	NE
108	83333	fic	fic	NE
108	83333	fieF	fieF	NE
